Source,Recipient,type,resource,utilization,Applicable Buckets
Heifer assisted SHG,SHG Member,Personal Loan,Informal Animal rearing loan,Utilized by the SHG Members,Bucket 3
Heifer assisted SHG,SHG Member,Personal Loan,Informal personal loan,Utilized by the SHG Members,Bucket 3
Heifer assisted FOAB,Project Supported FOAB,Investment,Capital,Used by the FOAB,Bucket 3
Heifer assisted FOAB,Project Supported FOAB,Investment,Fund,Used by the FOAB,Bucket 3
Heifer assisted FOAB,Project Supported FOAB,Investment,Business ventures,Used by the FOAB,Bucket 3
Heifer assisted FOAB,Project Supported FOAB,Investment,Assets,Used by the FOAB,Bucket 3
FOAB Members,Heifer assisted FOAB,Savings,as cash,Utilized by the FOAB Members,Bucket 3
FOAB Members,Heifer assisted FOAB,Savings,Savings account,Utilized by the FOAB Members,Bucket 3
Heifer assisted FOAB,Community,Loan,Improved market access,Benefit to the Community,Bucket 3
Heifer assisted FOAB,Community,Loan,Construction of roads,Benefit to the Community,Bucket 3
Heifer assisted FOAB,Community,Loan,construction of buildings,Benefit to the Community,Bucket 3
Heifer assisted FOAB,Community,Loan,purchase of transport vehicles,Benefit to the Community,Bucket 3
Heifer assisted FOAB,Community,Loan,improved water service,Benefit to the Community,Bucket 3
Heifer assisted FOAB,Community,Loan,improved environment,Benefit to the Community,Bucket 3
Heifer assisted FOAB,Community,Loan,other improvements,Benefit to the Community,Bucket 3
Heifer assisted FOAB,FOAB Member,Personal Loan,Informal Agriculture loan,Utilized by the FOAB Members,Bucket 3
Heifer assisted FOAB,FOAB Member,Personal Loan,Informal Animal rearing loan,Utilized by the FOAB Members,Bucket 3
Heifer assisted FOAB,FOAB Member,Personal Loan,Informal personal loan,Utilized by the FOAB Members,Bucket 3
Heifer assisted FOAB,Bank & Financial Institution,Investment,Fixed Deposits or Recurring Deposits,Used by the FOAB,Bucket 4
Heifer assisted FOAB,Bank or Financial Institution,Investment,"Bonds, Stocks, Shares",Used by the FOAB,Bucket 4
Heifer assisted FOAB,Bank or Financial Institution,Savings,Savings or Cash,Utilized by the FOAB Members,Bucket 4
Bank or Financial Institution,Community,Loan,Improved market access,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,Construction of roads,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,construction of buildings,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,purchase of transport vehicles,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,improved water service,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,improved environment,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,other improvements,Benefit to the Community,Bucket 4
Bank or Financial Institution,FOAB or SHG Member,Personal Loan,Formal Agriculture loan,Utilized by the FOAB Members,Bucket 4
Bank or Financial Institution,FOAB or SHG Member,Personal Loan,Formal Animal rearing loan,Utilized by the FOAB Members,Bucket 4
Bank or Financial Institution,FOAB or SHG Member,Personal Loan,Formal personal loan,Utilized by the FOAB Members,Bucket 4
Heifer assisted SHG,Bank or Financial Institution,Investment,Fixed Deposits or Recurring Deposits,Used by the SHG,Bucket 4
Heifer assisted SHG,Bank or Financial Institution,Investment,"Bonds, Stocks, Shares",Used by the SHG,Bucket 4
Heifer assisted SHG,Bank or Financial Institution,Savings,Savings account,Utilized by the SHG Members,Bucket 4
Bank or Financial Institution,Community,Loan,Improved market access,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,Construction of roads,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,construction of buildings,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,purchase of transport vehicles,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,improved water service,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,improved environment,Benefit to the Community,Bucket 4
Bank or Financial Institution,Community,Loan,other improvements,Benefit to the Community,Bucket 4
Bank or Financial Institution,SHG Member,Personal Loan,Formal Agriculture loan,Utilized by the SHG Members,Bucket 4
Bank or Financial Institution,SHG Member,Personal Loan,Formal Animal rearing loan,Utilized by the SHG Members,Bucket 4
Bank or Financial Institution,SHG Member,Personal Loan,Formal personal loan,Utilized by the SHG Members,Bucket 4
